begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/17 18:37

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.322784328099949e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.32278433e-09   0.100    40.00000 2020/06/24 19:45 2020/06/24 19:55
FAP2  1 V         0.000 799 Input units: m/s         
   12.34000  1.30169078e+08  175
   12.36000  1.29961381e+08  175
   12.38000  1.29980613e+08  175
   12.40000  1.30014844e+08  175
   12.42000  1.30191552e+08  175
   12.44000  1.30011093e+08  175
   12.46000  1.29919974e+08  175
   12.48000  1.29967884e+08  175
   12.50000  1.29918071e+08  175
   12.52000  1.29776749e+08  174
   12.54000  1.29774047e+08  174
   12.56000  1.29671620e+08  174
   12.58000  1.29667976e+08  174
   12.60000  1.29865705e+08  174
   12.62000  1.29888559e+08  174
   12.64000  1.29604517e+08  174
   12.66000  1.29606474e+08  174
   12.68000  1.29815789e+08  174
   12.70000  1.29855153e+08  174
   12.72000  1.29669959e+08  174
   12.74000  1.29445585e+08  174
   12.76000  1.29432750e+08  174
   12.78000  1.29490904e+08  174
   12.80000  1.29631067e+08  174
   12.82000  1.29615351e+08  174
   12.84000  1.29480661e+08  174
   12.86000  1.29560022e+08  174
   12.88000  1.29454360e+08  174
   12.90000  1.29482166e+08  174
   12.92000  1.29436233e+08  174
   12.94000  1.29545396e+08  174
   12.96000  1.29349365e+08  174
   12.98000  1.29234738e+08  174
   13.00000  1.29329229e+08  174
   13.02000  1.29510614e+08  174
   13.04000  1.29196672e+08  174
   13.06000  1.29201987e+08  174
   13.08000  1.29409731e+08  174
   13.10000  1.29431435e+08  174
   13.12000  1.29456078e+08  173
   13.14000  1.29065434e+08  174
   13.16000  1.29080078e+08  173
   13.18000  1.28898116e+08  174
   13.20000  1.29101190e+08  174
   13.22000  1.29062967e+08  173
   13.24000  1.29174086e+08  173
   13.26000  1.29151527e+08  173
   13.28000  1.28977701e+08  173
   13.30000  1.28975089e+08  173
   13.32000  1.28878340e+08  173
   13.34000  1.29442161e+08  173
   13.36000  1.28913182e+08  173
   13.38000  1.28971462e+08  173
   13.40000  1.28986308e+08  173
   13.42000  1.28769674e+08  173
   13.44000  1.28541268e+08  173
   13.46000  1.28628388e+08  173
   13.48000  1.28844398e+08  173
   13.50000  1.28648187e+08  173
   13.52000  1.28808641e+08  173
   13.54000  1.28880515e+08  173
   13.56000  1.28780774e+08  173
   13.58000  1.28534812e+08  173
   13.60000  1.28426944e+08  173
   13.62000  1.28649239e+08  173
   13.64000  1.28735175e+08  173
   13.66000  1.28575047e+08  173
   13.68000  1.28587713e+08  173
   13.70000  1.28574537e+08  173
   13.72000  1.28248024e+08  173
   13.74000  1.28334751e+08  173
   13.76000  1.28518482e+08  173
   13.78000  1.28569719e+08  173
   13.80000  1.28483343e+08  173
   13.82000  1.28202882e+08  173
   13.84000  1.28203906e+08  172
   13.86000  1.28010045e+08  172
   13.88000  1.28099274e+08  172
   13.90000  1.28318121e+08  172
   13.92000  1.28146457e+08  172
   13.94000  1.28006166e+08  172
   13.96000  1.28146861e+08  172
   13.98000  1.27966516e+08  172
   14.00000  1.28232154e+08  172
   14.02000  1.28304194e+08  172
   14.04000  1.28180431e+08  172
   14.06000  1.28168252e+08  172
   14.08000  1.28021537e+08  172
   14.10000  1.27960742e+08  172
   14.12000  1.27987468e+08  172
   14.14000  1.27970035e+08  172
   14.16000  1.27945724e+08  172
