begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2022/11/30 19:09

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.1927020719191555e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.19270207e-09   0.100    40.00000 2020/05/27 20:00 2020/05/27 20:10
FAP2  1 V         0.000 799 Input units: m/s         
   10.62000  1.35384080e+08  178
   10.64000  1.35469745e+08  178
   10.66000  1.35324397e+08  178
   10.68000  1.35321287e+08  178
   10.70000  1.35479449e+08  178
   10.72000  1.35466735e+08  178
   10.74000  1.35313630e+08  178
   10.76000  1.35280697e+08  178
   10.78000  1.35240692e+08  178
   10.80000  1.35325321e+08  178
   10.82000  1.35223773e+08  178
   10.84000  1.35157062e+08  177
   10.86000  1.35136157e+08  177
   10.88000  1.35244008e+08  178
   10.90000  1.35276227e+08  177
   10.92000  1.35232299e+08  177
   10.94000  1.35146448e+08  177
   10.96000  1.35216274e+08  177
   10.98000  1.35163703e+08  177
   11.00000  1.35034037e+08  177
   11.02000  1.35058981e+08  177
   11.04000  1.35201218e+08  177
   11.06000  1.35132051e+08  177
   11.08000  1.35081664e+08  177
   11.10000  1.34874168e+08  177
   11.12000  1.34985030e+08  177
   11.14000  1.35055165e+08  177
   11.16000  1.35063448e+08  177
   11.18000  1.35008811e+08  177
   11.20000  1.34923016e+08  177
   11.22000  1.35076683e+08  177
   11.24000  1.35022743e+08  177
   11.26000  1.34961600e+08  177
   11.28000  1.34902796e+08  177
   11.30000  1.34964820e+08  177
   11.32000  1.34870264e+08  177
   11.34000  1.34901739e+08  177
   11.36000  1.34872071e+08  177
   11.38000  1.34957092e+08  177
   11.40000  1.34773869e+08  177
   11.42000  1.34660672e+08  177
   11.44000  1.34709734e+08  176
   11.46000  1.34699088e+08  176
   11.48000  1.34502020e+08  176
   11.50000  1.34584711e+08  176
   11.52000  1.34634150e+08  176
   11.54000  1.34706418e+08  176
   11.56000  1.34786401e+08  176
   11.58000  1.34594466e+08  176
   11.60000  1.34584093e+08  176
   11.62000  1.34594909e+08  176
   11.64000  1.34579216e+08  176
   11.66000  1.34465603e+08  176
   11.68000  1.34398201e+08  176
   11.70000  1.34451881e+08  176
   11.72000  1.34451058e+08  176
   11.74000  1.34456400e+08  176
   11.76000  1.34466882e+08  176
   11.78000  1.34477630e+08  176
   11.80000  1.34443270e+08  176
   11.82000  1.34371042e+08  176
   11.84000  1.34387200e+08  176
   11.86000  1.34350345e+08  176
   11.88000  1.34274610e+08  176
   11.90000  1.34272577e+08  176
   11.92000  1.34246142e+08  176
   11.94000  1.34272435e+08  176
   11.96000  1.34244415e+08  176
   11.98000  1.34199414e+08  176
   12.00000  1.34298248e+08  176
   12.02000  1.34235672e+08  176
   12.04000  1.33957037e+08  176
   12.06000  1.33991726e+08  176
   12.08000  1.34204774e+08  175
   12.10000  1.34122923e+08  175
   12.12000  1.34191573e+08  175
   12.14000  1.34187931e+08  175
   12.16000  1.33982024e+08  175
   12.18000  1.34047106e+08  175
   12.20000  1.34150057e+08  175
   12.22000  1.33913416e+08  175
   12.24000  1.33889390e+08  175
   12.26000  1.33960978e+08  175
   12.28000  1.33801099e+08  175
   12.30000  1.33740639e+08  175
   12.32000  1.33974417e+08  175
   12.34000  1.33911267e+08  175
   12.36000  1.33747251e+08  175
   12.38000  1.33702367e+08  175
   12.40000  1.33678859e+08  175
   12.42000  1.33713363e+08  175
   12.44000  1.33720320e+08  175
   12.46000  1.33647768e+08  175
   12.48000  1.33616061e+08  175
   12.50000  1.33554603e+08  175
   12.52000  1.33605093e+08  175
   12.54000  1.33662826e+08  175
   12.56000  1.33514754e+08  175
   12.58000  1.33493434e+08  175
   12.60000  1.33472959e+08  175
   12.62000  1.33423318e+08  175
   12.64000  1.33373209e+08  175
   12.66000  1.33404600e+08  174
   12.68000  1.33435035e+08  174
   12.70000  1.33518582e+08  174
   12.72000  1.33421579e+08  174
   12.74000  1.33375345e+08  174
   12.76000  1.33201914e+08  174
   12.78000  1.33286444e+08  174
   12.80000  1.33379312e+08  174
   12.82000  1.33340807e+08  174
   12.84000  1.33354917e+08  174
   12.86000  1.33425968e+08  174
   12.88000  1.33149780e+08  174
   12.90000  1.33004171e+08  174
   12.92000  1.33024098e+08  174
   12.94000  1.33188840e+08  174
   12.96000  1.33184046e+08  174
   12.98000  1.33213698e+08  174
   13.00000  1.33073481e+08  174
   13.02000  1.33053887e+08  174
   13.04000  1.33048673e+08  174
   13.06000  1.32961804e+08  174
   13.08000  1.32951451e+08  174
   13.10000  1.32934084e+08  174
   13.12000  1.32989115e+08  174
   13.14000  1.32915248e+08  174
   13.16000  1.32959855e+08  174
   13.18000  1.32742753e+08  174
   13.20000  1.32743466e+08  174
   13.22000  1.32745500e+08  174
   13.24000  1.32723780e+08  174
   13.26000  1.32672278e+08  174
   13.28000  1.32672523e+08  174
   13.30000  1.32823850e+08  174
   13.32000  1.32842133e+08  174
   13.34000  1.32661526e+08  173
   13.36000  1.32629485e+08  173
   13.38000  1.32645862e+08  173
   13.40000  1.32635740e+08  173
   13.42000  1.32430490e+08  173
   13.44000  1.32236360e+08  173
   13.46000  1.32255560e+08  173
   13.48000  1.32513185e+08  173
   13.50000  1.32441285e+08  173
   13.52000  1.32438560e+08  173
   13.54000  1.32473659e+08  173
   13.56000  1.32472675e+08  173
   13.58000  1.32420875e+08  173
   13.60000  1.32216374e+08  173
   13.62000  1.32194115e+08  173
   13.64000  1.32130342e+08  173
   13.66000  1.32082939e+08  173
   13.68000  1.32314615e+08  173
   13.70000  1.32248284e+08  173
   13.72000  1.31995798e+08  173
   13.74000  1.32013298e+08  173
   13.76000  1.32026125e+08  173
   13.78000  1.32074417e+08  173
   13.80000  1.32033438e+08  173
   13.82000  1.31920632e+08  173
   13.84000  1.31846622e+08  173
   13.86000  1.31742287e+08  173
   13.88000  1.31877135e+08  173
   13.90000  1.31767360e+08  173
   13.92000  1.31761170e+08  173
   13.94000  1.31683809e+08  173
   13.96000  1.31624968e+08  173
   13.98000  1.31550868e+08  173
   14.00000  1.31696344e+08  172
   14.02000  1.31836770e+08  172
   14.04000  1.31805946e+08  172
   14.06000  1.31775275e+08  172
   14.08000  1.31673238e+08  173
   14.10000  1.31519065e+08  172
   14.12000  1.31579762e+08  172
   14.14000  1.31498339e+08  172
